Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:09,2022-07-26 17:56:10,1.479s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:56:10,2022-07-26 17:56:12,2.026s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:56:12,2022-07-26 17:56:14,2.208s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-26 17:56:14,2022-07-26 17:56:15,0.844s,PASSED
,,,,,,,
Test Cases/Login/Login005,Chrome 103.0.5060.114,Input Username dan password dengan sesuai dengan info demo account dengan cara copy paste,,2022-07-26 17:56:15,2022-07-26 17:56:31,15.652s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-26 17:56:17,2022-07-26 17:56:19,1.542s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:56:19,2022-07-26 17:56:22,2.832s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:22,2022-07-26 17:56:23,1.186s,PASSED
"doubleClick(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:23,2022-07-26 17:56:24,1.016s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:24,2022-07-26 17:56:25,0.782s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:56:25,2022-07-26 17:56:26,1.218s,PASSED
"doubleClick(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:26,2022-07-26 17:56:27,0.966s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:27,2022-07-26 17:56:28,0.818s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:56:28,2022-07-26 17:56:29,1.119s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:29,2022-07-26 17:56:30,1.444s,PASSED
closeBrowser(),Chrome 103.0.5060.114,,,2022-07-26 17:56:30,2022-07-26 17:56:31,0.850s,PASSED
,,,,,,,
Test Cases/Login/Login006,Chrome 103.0.5060.114,input data username dan password invalid,,2022-07-26 17:56:31,2022-07-26 17:56:48,16.198s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-26 17:56:33,2022-07-26 17:56:35,1.609s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:56:35,2022-07-26 17:56:38,3.401s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:38,2022-07-26 17:56:39,1.158s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:56:39,2022-07-26 17:56:41,1.253s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:56:41,2022-07-26 17:56:42,1.165s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:42,2022-07-26 17:56:43,1.454s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:56:43,2022-07-26 17:56:45,2.005s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:56:45,2022-07-26 17:56:48,2.253s,PASSED
,,,,,,,
Test Cases/Login/Login007,Chrome 103.0.5060.114,Input data username valid dan password invalid,,2022-07-26 17:56:48,2022-07-26 17:57:00,11.716s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:56:50,2022-07-26 17:56:50,0.521s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:50,2022-07-26 17:56:51,1.088s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:56:51,2022-07-26 17:56:53,1.098s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:56:53,2022-07-26 17:56:54,1.203s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:56:54,2022-07-26 17:56:55,1.623s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:56:55,2022-07-26 17:56:57,2.018s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:56:57,2022-07-26 17:57:00,2.289s,PASSED
,,,,,,,
Test Cases/Login/Login008,Chrome 103.0.5060.114,Input data username Invalid dan password valid,,2022-07-26 17:57:00,2022-07-26 17:57:12,11.685s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:57:02,2022-07-26 17:57:03,0.507s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:03,2022-07-26 17:57:04,1.202s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:57:04,2022-07-26 17:57:05,1.111s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:57:05,2022-07-26 17:57:06,1.216s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:06,2022-07-26 17:57:08,1.450s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:57:08,2022-07-26 17:57:10,2.024s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:57:10,2022-07-26 17:57:12,2.112s,PASSED
,,,,,,,
Test Cases/Login/Login009,Chrome 103.0.5060.114,Input data username valid huruf kecil semua dan password valid,,2022-07-26 17:57:12,2022-07-26 17:57:23,11.216s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:57:14,2022-07-26 17:57:15,0.450s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:15,2022-07-26 17:57:16,1.036s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:57:16,2022-07-26 17:57:17,1.090s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:57:17,2022-07-26 17:57:18,1.165s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:18,2022-07-26 17:57:19,1.382s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:57:19,2022-07-26 17:57:21,2.015s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:57:21,2022-07-26 17:57:23,2.183s,PASSED
,,,,,,,
Test Cases/Login/Login010,Chrome 103.0.5060.114,Input data username valid huruf kapital semua dan password valid,,2022-07-26 17:57:24,2022-07-26 17:57:35,11.321s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:57:26,2022-07-26 17:57:26,0.472s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:26,2022-07-26 17:57:27,1.154s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:57:27,2022-07-26 17:57:28,1.128s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:57:28,2022-07-26 17:57:29,1.070s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:29,2022-07-26 17:57:31,1.479s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:57:31,2022-07-26 17:57:33,2.018s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:57:33,2022-07-26 17:57:35,2.155s,PASSED
,,,,,,,
Test Cases/Login/Login011,Chrome 103.0.5060.114,Input data username valid spasi diawal dan password valid,,2022-07-26 17:57:36,2022-07-26 17:57:47,11.142s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:57:37,2022-07-26 17:57:38,0.465s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:38,2022-07-26 17:57:39,1.114s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:57:39,2022-07-26 17:57:40,1.000s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:57:40,2022-07-26 17:57:41,1.196s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:41,2022-07-26 17:57:43,1.417s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:57:43,2022-07-26 17:57:45,2.023s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:57:45,2022-07-26 17:57:47,2.044s,PASSED
,,,,,,,
Test Cases/Login/Login012,Chrome 103.0.5060.114,Input data username valid spasi diakhir dan password valid,,2022-07-26 17:57:47,2022-07-26 17:57:58,11.215s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:57:49,2022-07-26 17:57:49,0.476s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:49,2022-07-26 17:57:50,1.111s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:57:50,2022-07-26 17:57:52,1.169s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:57:52,2022-07-26 17:57:53,1.104s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:57:53,2022-07-26 17:57:54,1.380s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:57:54,2022-07-26 17:57:56,2.016s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:57:56,2022-07-26 17:57:58,2.126s,PASSED
,,,,,,,
Test Cases/Login/Login013,Chrome 103.0.5060.114,Input data username valid dan password valid huruf kecil semua,,2022-07-26 17:57:59,2022-07-26 17:58:10,11.775s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:58:01,2022-07-26 17:58:01,0.485s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:01,2022-07-26 17:58:02,1.236s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:58:02,2022-07-26 17:58:04,1.350s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:58:04,2022-07-26 17:58:05,1.108s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:05,2022-07-26 17:58:06,1.435s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:58:06,2022-07-26 17:58:08,2.036s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:58:08,2022-07-26 17:58:10,2.112s,PASSED
,,,,,,,
Test Cases/Login/Login014,Chrome 103.0.5060.114,Input data username valid dan password valid huruf kapital semua,,2022-07-26 17:58:11,2022-07-26 17:58:22,11.216s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:58:13,2022-07-26 17:58:13,0.453s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:13,2022-07-26 17:58:14,1.054s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:58:14,2022-07-26 17:58:15,1.153s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:58:15,2022-07-26 17:58:17,1.235s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:17,2022-07-26 17:58:18,1.353s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:58:18,2022-07-26 17:58:20,2.006s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:58:20,2022-07-26 17:58:22,2.005s,PASSED
,,,,,,,
Test Cases/Login/Login015,Chrome 103.0.5060.114,Input data username valid dan password valid  spasi diawal,,2022-07-26 17:58:22,2022-07-26 17:58:33,11.248s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:58:24,2022-07-26 17:58:25,0.468s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:25,2022-07-26 17:58:26,1.094s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:58:26,2022-07-26 17:58:27,1.156s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:58:27,2022-07-26 17:58:28,1.113s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:28,2022-07-26 17:58:29,1.402s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:58:29,2022-07-26 17:58:31,2.019s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:58:31,2022-07-26 17:58:33,2.112s,PASSED
,,,,,,,
Test Cases/Login/Login016,Chrome 103.0.5060.114,Input data username valid dan password valid spasi diakhir,,2022-07-26 17:58:34,2022-07-26 17:58:45,11.371s,PASSED
navigateToUrl(url),Chrome 103.0.5060.114,,,2022-07-26 17:58:36,2022-07-26 17:58:36,0.475s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:36,2022-07-26 17:58:37,1.156s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 103.0.5060.114,,,2022-07-26 17:58:37,2022-07-26 17:58:38,1.111s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/input_Password_password""), password)",Chrome 103.0.5060.114,,,2022-07-26 17:58:38,2022-07-26 17:58:40,1.134s,PASSED
"click(findTestObject(""Object Repository/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 103.0.5060.114,,,2022-07-26 17:58:40,2022-07-26 17:58:41,1.387s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-26 17:58:41,2022-07-26 17:58:43,2.018s,PASSED
takeFullPageScreenshot(),Chrome 103.0.5060.114,,,2022-07-26 17:58:43,2022-07-26 17:58:45,2.148s,PASSED
